Description,trans_date,Quantity,day_of_week,month
ASSORTED COLOUR BIRD ORNAMENT,2010-12-01,216,2,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-02,503,3,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-03,32,4,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-05,129,6,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-06,114,0,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-07,271,1,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-08,75,2,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-09,120,3,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-10,136,4,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-12,25,6,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-13,66,0,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-14,228,1,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-15,120,2,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-16,160,3,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-17,16,4,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-19,8,6,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-21,24,1,12
ASSORTED COLOUR BIRD ORNAMENT,2010-12-23,16,3,12
ASSORTED COLOUR BIRD ORNAMENT,2011-01-04,72,1,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-05,232,2,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-06,88,3,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-07,24,4,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-09,56,6,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-10,80,0,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-11,248,1,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-12,32,2,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-13,22,3,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-14,16,4,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-16,4,6,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-17,25,0,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-18,8,1,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-19,8,2,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-20,24,3,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-21,24,4,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-23,34,6,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-24,208,0,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-25,32,1,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-26,16,2,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-27,16,3,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-28,32,4,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-30,24,6,1
ASSORTED COLOUR BIRD ORNAMENT,2011-01-31,366,0,1
ASSORTED COLOUR BIRD ORNAMENT,2011-02-01,304,1,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-02,224,2,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-03,24,3,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-04,8,4,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-06,11,6,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-07,8,0,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-09,16,2,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-10,72,3,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-11,32,4,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-13,24,6,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-14,212,0,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-15,84,1,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-16,156,2,2
